model,sweep_param,sweep_value,skew_RMSE
stan_uncollapsed,D,75,0.156341233511789
stan_collapsed_variationalbayes_meanfield,D,75,0.0953804600040436
mongrel_cholesky,D,75,0.100317227553042
mongrel_cholesky_MAP,D,75,0.100317227553042
conjugate_linear_model,D,75,0.0994698211419456
stan_collapsed,D,100,0
stan_uncollapsed,D,100,0.152147497770169
stan_collapsed_variationalbayes_meanfield,D,100,0.0736262350804577
mongrel_cholesky,D,100,0.0835901338791356
mongrel_cholesky_MAP,D,100,0.0835901338791356
conjugate_linear_model,D,100,0.0808465105057757
stan_uncollapsed,D,100,0.288597342262788
stan_collapsed_variationalbayes_meanfield,D,100,0.09059382675301
mongrel_cholesky,D,100,0.0844021084100179
mongrel_cholesky_MAP,D,100,0.0844021084100179
conjugate_linear_model,D,100,0.0890775401626556
stan_uncollapsed,D,100,0.137613555740309
stan_collapsed_variationalbayes_meanfield,D,100,0.0932913792445551
mongrel_cholesky,D,100,0.0952021638664871
mongrel_cholesky_MAP,D,100,0.0952021638664871
conjugate_linear_model,D,100,0.100417371780205
stan_collapsed,D,250,0
stan_collapsed_variationalbayes_meanfield,D,250,0.128610583944309
mongrel_cholesky,D,250,0.146189350387126
mongrel_cholesky_MAP,D,250,0.146189350387126
conjugate_linear_model,D,250,0.150964377302362
stan_collapsed_variationalbayes_meanfield,D,250,0.111637347438003
mongrel_cholesky,D,250,0.114131580490516
mongrel_cholesky_MAP,D,250,0.114131580490516
conjugate_linear_model,D,250,0.119017564095206
stan_collapsed_variationalbayes_meanfield,D,250,0.111276816521427
mongrel_cholesky,D,250,0.111017755483735
mongrel_cholesky_MAP,D,250,0.111017755483735
conjugate_linear_model,D,250,0.117684189777253
stan_collapsed,D,500,0
stan_collapsed_variationalbayes_meanfield,D,500,0.244724850842564
mongrel_cholesky,D,500,0.24453047640064
mongrel_cholesky_MAP,D,500,0.24453047640064
conjugate_linear_model,D,500,0.246797778126932
stan_collapsed_variationalbayes_meanfield,D,500,0.247476415247455
mongrel_cholesky,D,500,0.253401786351414
mongrel_cholesky_MAP,D,500,0.253401786351414
conjugate_linear_model,D,500,0.256588646503758
mongrel_cholesky,D,500,0.258126236162022
mongrel_cholesky_MAP,D,500,0.258126236162022
conjugate_linear_model,D,500,0.255796346743694
stan_collapsed,Q,2,0
stan_uncollapsed,Q,2,0.0872945939122577
stan_collapsed_variationalbayes_meanfield,Q,2,0.0740878145972361
mongrel_cholesky,Q,2,0.0700220291509749
mongrel_cholesky_MAP,Q,2,0.0700220291509749
conjugate_linear_model,Q,2,0.0697664058579817
stan_uncollapsed,Q,2,0.0755444099706706
stan_collapsed_variationalbayes_meanfield,Q,2,0.0714712944546301
mongrel_cholesky,Q,2,0.0747439289613314
mongrel_cholesky_MAP,Q,2,0.0747439289613314
conjugate_linear_model,Q,2,0.0758729895236784
stan_uncollapsed,Q,2,0.0932450562484454
stan_collapsed_variationalbayes_meanfield,Q,2,0.0816111604081596
mongrel_cholesky,Q,2,0.0857449829164112
mongrel_cholesky_MAP,Q,2,0.0857449829164112
conjugate_linear_model,Q,2,0.0903947278959243
