model,sweep_param,sweep_value,sd_RMSE
stan_collapsed_variationalbayes_meanfield,Q,20,0.0560189666211725
mongrel_cholesky,Q,20,0.0297133996210115
mongrel_cholesky_MAP,Q,20,0.0294320178704819
conjugate_linear_model,Q,20,0.0324135682197346
stan_uncollapsed,Q,20,0.0218023679228832
stan_collapsed_variationalbayes_meanfield,Q,20,0.0639563310866544
mongrel_cholesky,Q,20,0.0331489935551798
mongrel_cholesky_MAP,Q,20,0.0330184661421172
conjugate_linear_model,Q,20,0.0286339931558039
stan_uncollapsed,Q,20,0.0157719836217177
stan_collapsed_variationalbayes_meanfield,Q,20,0.0465384451766042
mongrel_cholesky,Q,20,0.0255748949667336
mongrel_cholesky_MAP,Q,20,0.0255669856420931
conjugate_linear_model,Q,20,0.0207589375188865
stan_collapsed,Q,50,0
stan_uncollapsed,Q,50,0.0822408716869779
stan_collapsed_variationalbayes_meanfield,Q,50,0.222926351703023
mongrel_cholesky,Q,50,0.105756978170354
mongrel_cholesky_MAP,Q,50,0.105705105654727
conjugate_linear_model,Q,50,0.188725018710724
stan_uncollapsed,Q,50,0.0820381217058511
stan_collapsed_variationalbayes_meanfield,Q,50,0.215520538737998
mongrel_cholesky,Q,50,0.0937582966912442
mongrel_cholesky_MAP,Q,50,0.0936507815111566
conjugate_linear_model,Q,50,0.185487069038315
stan_uncollapsed,Q,50,0.0758428232064268
stan_collapsed_variationalbayes_meanfield,Q,50,0.205892905452287
mongrel_cholesky,Q,50,0.348922408610234
mongrel_cholesky_MAP,Q,50,0.355747610034178
conjugate_linear_model,Q,50,0.179238715846788
stan_collapsed,Q,75,0
stan_uncollapsed,Q,75,0.136221651255231
stan_collapsed_variationalbayes_meanfield,Q,75,0.293960275046755
mongrel_cholesky,Q,75,0.166914277466998
mongrel_cholesky_MAP,Q,75,0.167379321679806
conjugate_linear_model,Q,75,0.329349812925411
stan_uncollapsed,Q,75,0.154589440131453
stan_collapsed_variationalbayes_meanfield,Q,75,0.27785510660859
mongrel_cholesky,Q,75,0.134191005714861
mongrel_cholesky_MAP,Q,75,0.134301595503205
conjugate_linear_model,Q,75,0.316008959247916
stan_uncollapsed,Q,75,0.115553149632201
stan_collapsed_variationalbayes_meanfield,Q,75,0.284108872601937
mongrel_cholesky,Q,75,0.157494612812041
mongrel_cholesky_MAP,Q,75,0.157165970112635
conjugate_linear_model,Q,75,0.323091236646909
stan_collapsed,Q,100,0
stan_uncollapsed,Q,100,0.135413996656293
stan_collapsed_variationalbayes_meanfield,Q,100,0.167833134718899
mongrel_cholesky,Q,100,0.143262401420399
mongrel_cholesky_MAP,Q,100,0.143238071049333
conjugate_linear_model,Q,100,0.318644783770265
stan_uncollapsed,Q,100,0.178624430269344
stan_collapsed_variationalbayes_meanfield,Q,100,0.231821665580666
mongrel_cholesky,Q,100,0.196566634041267
mongrel_cholesky_MAP,Q,100,0.196647162041672
conjugate_linear_model,Q,100,0.39097373838113
stan_uncollapsed,Q,100,0.162290874568073
stan_collapsed_variationalbayes_meanfield,Q,100,0.191065998351964
mongrel_cholesky,Q,100,0.173298318835807
mongrel_cholesky_MAP,Q,100,0.173404452449651
conjugate_linear_model,Q,100,0.362080123135871
stan_collapsed,Q,250,0
stan_uncollapsed,Q,250,0.0710623378415257
stan_collapsed_variationalbayes_meanfield,Q,250,0.344497663391658
mongrel_cholesky,Q,250,0.238659537385969
mongrel_cholesky_MAP,Q,250,0.238796172333225
conjugate_linear_model,Q,250,0.486884926615603
stan_uncollapsed,Q,250,0.096828220799163
stan_collapsed_variationalbayes_meanfield,Q,250,0.278455042103868
mongrel_cholesky,Q,250,0.97303157851172
mongrel_cholesky_MAP,Q,250,0.949823227386038
conjugate_linear_model,Q,250,0.428170930854139
stan_uncollapsed,Q,250,0.105434094415165
stan_collapsed_variationalbayes_meanfield,Q,250,0.229641538744477
mongrel_cholesky,Q,250,0.151161339292635
mongrel_cholesky_MAP,Q,250,0.151237724950126
conjugate_linear_model,Q,250,0.356062247708052
stan_collapsed,Q,500,0
stan_uncollapsed,Q,500,0.0578737213163854
stan_collapsed_variationalbayes_meanfield,Q,500,0.184837110319755
mongrel_cholesky,Q,500,2.69579033024461
mongrel_cholesky_MAP,Q,500,2.70545882334337
conjugate_linear_model,Q,500,0.363599662693248
stan_uncollapsed,Q,500,0.0739568488718296
stan_collapsed_variationalbayes_meanfield,Q,500,0.230845180662292
mongrel_cholesky,Q,500,0.269333760114463
mongrel_cholesky_MAP,Q,500,0.269354938362638
conjugate_linear_model,Q,500,0.418800238574254
stan_uncollapsed,Q,500,0.0538237878060019
stan_collapsed_variationalbayes_meanfield,Q,500,0.163928048800836
mongrel_cholesky,Q,500,0.23176559810802
mongrel_cholesky_MAP,Q,500,0.231891163925672
conjugate_linear_model,Q,500,0.361750557906345
