model,ESS,burnin_runtime,sample_runtime,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
Stan (uncollapsed),336.5558383,394.5,166.5,Q,4,4000,2000,0.091,0.005721808,0.043103448,3
Stan (uncollapsed),186.8593085,854.1,498.94,Q,10,4000,2000,0.309,0.014804478,0.031034483,1
Stan (uncollapsed),205.8914279,679.34,386.76,Q,10,4000,2000,0.286333333,0.012467639,0.020689655,2
Stan (uncollapsed),277.7949862,844.79,490.47,Q,10,4000,2000,0.297333333,0.016517866,0.048275862,3
Stan (uncollapsed),839.1671386,1725.3,1546.51,Q,20,4000,2000,0.544666667,0.070819715,0.096551724,1
Stan (uncollapsed),571.0444641,1191.15,1247.15,Q,20,4000,2000,0.538666667,0.072470207,0.096551724,2
Stan (uncollapsed),471.9953112,1414.88,1216.21,Q,20,4000,2000,0.503,0.055823467,0.087931034,3
Stan (uncollapsed),127.2911899,2220.95,2311.03,Q,50,4000,2000,0.761,0.669314057,0.235862069,1
Stan (uncollapsed),95.98357635,2220.04,2119.58,Q,50,4000,2000,0.736333333,0.639517781,0.231034483,2
Stan (uncollapsed),122.7566856,1630.48,1579.88,Q,50,4000,2000,0.735,0.622085632,0.244827586,3
Stan (uncollapsed),41.18314436,2515.89,2371.65,Q,75,4000,2000,0.816333333,1.179865235,0.189885057,1
Stan (uncollapsed),38.7113787,1838.43,1851.58,Q,75,4000,2000,0.820333333,1.205638513,0.194022989,2
Stan (uncollapsed),43.15479862,1630.76,1657.15,Q,75,4000,2000,0.817333333,1.178544374,0.223448276,3
Stan (uncollapsed),44.30541939,2306.53,2332.9,Q,100,4000,2000,0.835,1.166563291,0.204137931,1
Stan (uncollapsed),26.05823521,1560.43,1601.81,Q,100,4000,2000,0.854666667,1.454180348,0.166896552,2
Stan (uncollapsed),30.27138371,1976.2,1979.4,Q,100,4000,2000,0.852666667,1.372116062,0.19862069,3
Stan (uncollapsed),24.49908525,3244.3,3283.89,Q,250,4000,2000,0.915333333,1.371059768,0.248827586,1
Stan (uncollapsed),25.40907798,3807.68,3038.63,Q,250,4000,2000,0.905333333,1.364162566,0.233517241,2
Stan (uncollapsed),32.14404005,2423.33,2458.41,Q,250,4000,2000,0.896666667,1.286794717,0.250758621,3
Stan (uncollapsed),29.14700767,6327.66,6380.05,Q,500,4000,2000,0.932666667,1.232039071,0.336068966,1
Stan (uncollapsed),28.3747237,5400.91,5560.38,Q,500,4000,2000,0.937,1.214999038,0.355724138,2
Stan (uncollapsed),30.994419,5354.05,5453.97,Q,500,4000,2000,0.928666667,1.234300209,0.343517241,3
Stan (collapsed),913.0133393,137.88,162.14,Q,2,4000,2000,0.005333333,0.003050031,0.034482759,1
Stan (collapsed),384.5562109,158.89,109.95,Q,2,4000,2000,0.018333333,0.002845725,0.034482759,2
Stan (collapsed),1027.110834,135.36,127.02,Q,2,4000,2000,0.007333333,0.003733429,0.068965517,3
Stan (collapsed),241.4658032,224.57,214.69,Q,4,4000,2000,0.061,0.007399412,0.077586207,1
Stan (collapsed),267.328925,253.57,122.04,Q,4,4000,2000,0.06,0.005324312,0.094827586,2
Stan (collapsed),351.827861,212.08,224.38,Q,4,4000,2000,0.091,0.005457268,0.051724138,3
Stan (collapsed),379.6573418,509.2,633.36,Q,10,4000,2000,0.309,0.014369295,0.05862069,1
Stan (collapsed),127.3972275,384.41,269.66,Q,10,4000,2000,0.286333333,0.012704415,0.044827586,2
Stan (collapsed),209.5382103,443.65,310.87,Q,10,4000,2000,0.297333333,0.016577873,0.065517241,3
Stan (collapsed),633.6132202,1057.25,915.96,Q,20,4000,2000,0.544666667,0.073270818,0.186206897,1
Stan (collapsed),436.8783883,881.02,717.31,Q,20,4000,2000,0.538666667,0.080454485,0.206896552,2
Stan (collapsed),604.4665657,988.76,850.99,Q,20,4000,2000,0.503,0.057443529,0.146551724,3
Stan (collapsed),856.5944015,1730.76,1724.38,Q,50,4000,2000,0.761,0.653077502,0.368965517,1
Stan (collapsed),849.6281469,2069.18,2108.8,Q,50,4000,2000,0.736333333,0.603266923,0.339310345,2
Stan (collapsed),983.0384,1742.11,1698.55,Q,50,4000,2000,0.735,0.589857569,0.344137931,3
Stan (collapsed),452.7478076,1835.26,1828.27,Q,75,4000,2000,0.816333333,1.032537683,0.296091954,1
Stan (collapsed),566.5041758,1618.94,1647.46,Q,75,4000,2000,0.820333333,1.024709456,0.309425287,2
Stan (collapsed),520.0969875,3418.17,1700.19,Q,75,4000,2000,0.817333333,1.067797785,0.323218391,3
Stan (collapsed),1059.319233,1522.48,1568.36,Q,100,4000,2000,0.835,1.040045671,0.31137931,1
Stan (collapsed),609.1160885,1541.7,1567.86,Q,100,4000,2000,0.854666667,1.244560285,0.277586207,2
Stan (collapsed),940.2974815,1831.3,1910.32,Q,100,4000,2000,0.852666667,1.167200974,0.305517241,3
Stan (collapsed),944.3697527,1533.11,1562.47,Q,250,4000,2000,0.915333333,1.390687557,0.25062069,1
Stan (collapsed),1029.882372,1836.46,1867.15,Q,250,4000,2000,0.905333333,1.289042573,0.281931034,2
Stan (collapsed),1206.135192,1525.54,1573.08,Q,250,4000,2000,0.896666667,1.183915706,0.326206897,3
Stan (collapsed),1293.279754,1529.86,1570.5,Q,500,4000,2000,0.932666667,1.210088374,0.354,1
Stan (collapsed),1146.497531,1860.09,1904.64,Q,500,4000,2000,0.937,1.265045187,0.306137931,2
Stan (collapsed),1394.00013,1540.69,1579.39,Q,500,4000,2000,0.928666667,1.221380836,0.349655172,3
Mongrel (eigendecomposition),4000,0,61.77033734,Q,2,4000,0,0.005333333,0.003312007,0.068965517,1
